Jobtitle,City,Date,Company,Skills,Profesion,Education,Salary,Jobs,Candidates,Copy
"['Urgente', 'Data Scientist']",Online,01/11/2024,Gstock Web App,"['machine learning', 'big data', 'business intelligence', 'python', 'sql', 'nlp', 'llm', 'git', 'aws']",Inteligencia Artificial/Machine Learning,Universidad,no disponible,1,88,2024/11/03
"['Urgente', 'Experto/a RPA']",Madrid,01/11/2024,NPR Spain,"['rpa', 'uipath']",Analista Programador,GM,no disponible,1,13,2024/11/03
"['Urgente', 'Team Leader Infraestructura y Help-Desk']",Madrid,01/11/2024,Sedecal,"['linux', 'azure', 'windows', 'cibersegurid data', 'cloud', 'soporte', 'vmware']",Jefe de Equipo,GS,49500.0,1,23,2024/11/03
"['Urgente', 'D365 BC/NAV Consultant']",Sevilla,01/11/2024,nine twenty recruitment,"['business central', 'dynamics 365', 'navision']",Arquitecto TIC,Bachillerato/COU,no disponible,1,0,2024/11/03
['Ingeniero QA Tester Banca'],Madrid,02/11/2024,PANEL Sistemas Informáticos,"['qa', 'devops']",Tester,GS,no disponible,1,9,2024/11/03
['Analista Programador Front Angular'],Madrid,02/11/2024,PSS,"['angular', 'api', 'typescript', 'rest']",Analista Programador,GS,39000.0,1,7,2024/11/03
['Backend Developer (ASP.NET Web API)'],Bizkaia,02/11/2024,Crearte Consulting,['.net'],Programador,Universidad,no disponible,1,0,2024/11/03
['Operador de red'],Madrid,02/11/2024,Serem,"['ccnp', 'nexus', 'f5']",Redes,Universidad,no disponible,15,3,2024/11/03
['Profesionales Webfocus (Remoto)'],Online,02/11/2024,CAS TRAINING,"['teradata', 'webfocus', 'exdata']",Desarrollador Web,GS,414.0,1,3,2024/11/03
['Programador PLM'],Online,02/11/2024,Social You,"['java', 'sql', 'python', 'linux', 'angular', 'windows', 'jira', 'html', 'windchill', 'jenkins', '.net', 'confluence', 'soap', 'rest', 'xml', 'windows server']",Programador,GS,31500.0,1,11,2024/11/03
['Analista Programador/a Senior Java'],Online,02/11/2024,Arelance,"['java', 'spring', 'oracle', 'hibernate', 'lan']",Analista Programador,Universidad,36000.0,1,8,2024/11/03
['Front-End 3D Developer + ReactJS'],Bizkaia,01/11/2024,Crearte Consulting,['react'],Programador,Universidad,no disponible,1,11,2024/11/03
['Analista Vue y Java'],Online,01/11/2024,Grupo NS,"['java', '.net', 'vue.js']",Analista Programador,GS,31500.0,1,17,2024/11/03
"['Administrador/a IBM MQ, RabbitMQ']",Online,01/11/2024,Serem,"['rabbitmq', 'ibm']",Técnico de Sistemas,GS,no disponible,1,8,2024/11/03
['Analista funcional junior IA'],Madrid,01/11/2024,Serem,['inteligencia artificial'],Inteligencia Artificial/Machine Learning,GS,no disponible,1,32,2024/11/03
['Jefe de Proyecto IT (Machine Learning)'],Online,01/11/2024,Serem,"['machine learning', 'scrum', 'jira', 'pmp']",Inteligencia Artificial/Machine Learning,Universidad,no disponible,1,37,2024/11/03
['Soporte microinformática'],Alicante,01/11/2024,FutuRS,"['soporte', 'helpdesk', 'microinformatica']",Soporte Técnico,GM,no disponible,1,144,2024/11/03
['Desarrollador/a C++'],Online,01/11/2024,Digital Talent Agency,['c plus'],Programador,No disponible,no disponible,1,35,2024/11/03
"['Técnico Microinformático, medio tiempo']",Madrid,01/11/2024,Zaidan IT Consulting,"['soporte', 'redes', 'hardware', 'software']",Soporte Técnico,GM,no disponible,5,18,2024/11/03
['Desarrollador/a Backend'],Madrid,31/10/2024,CAS TRAINING,"['node.js', '.net']",Analista Programador,GS,no disponible,1,1,2024/11/03
['Administrador/a de Sistemas Unix/Linux'],Madrid,31/10/2024,CAS TRAINING,"['linux', 'oracle', 'git', 'vmware', 'microsoft', 'itil', 'unix']",Analista Programador,GS,no disponible,1,1,2024/11/03
['Desarrollador/ra Senior GoLang'],Madrid,31/10/2024,CAS TRAINING,"['golang', 'cloud', 'iac', 'git', 'aws', 'jenkins', 'helm', 'bitbucket']",Analista Programador,GS,no disponible,1,0,2024/11/03
['Desarrollador/ra Senior Backend Node.js'],Madrid,31/10/2024,CAS TRAINING,"['node.js', 'api']",Desarrollador Web,Otros titulos,37500.0,1,2,2024/11/03
['Ingeniero/a de Datos Senior en Azure'],Online,31/10/2024,Serem,"['azure', 'databricks', 'synapse', 'data factory', 'sql database']",Big Data,GS,no disponible,1,1,2024/11/03
['Analista de Datos AWS + Hadoop'],Online,31/10/2024,Serem,"['sql', 'aws', 'data', 'hadoop', 'excel', 'spark']",Analista,Universidad,no disponible,1,2,2024/11/03
['Data Engineer GCP'],Online,31/10/2024,Serem,"['sql', 'python']",Big Data,Universidad,no disponible,1,4,2024/11/03
['Analista Funcional de Software'],Madrid,31/10/2024,Serem,"['jira', 'rest', 'confluence', 'software']",Analista,Universidad,no disponible,1,11,2024/11/03
['Arquitecto/a Consultor/ra Azure AD'],Online,31/10/2024,CAS TRAINING,"['aws', 'azure', 'microsoft', 'microsoft 365', 'directorio activo']",Arquitecto TIC,Universidad,40500.0,1,1,2024/11/03
['Analista Programador/a Natural Adabas'],Online,31/10/2024,Serem,"['natural', 'adabas']",Analista Programador,ESO,25500.0,1,4,2024/11/03
['IT Talent Advisor'],Madrid,31/10/2024,Serem,"['recruiter', 'excel', 'word']",Reclutador,Universidad,no disponible,1,0,2024/11/03
['Systems Specialist Cobol y Oracle (C1)'],Online,31/10/2024,Serem,"['cobol', 'oracle', 'db2']",Soporte Técnico,GS,no disponible,1,5,2024/11/03
['Desarrollador/a Junior PL/SQL'],Online,31/10/2024,CMV Consultores,"['pl/sql', 'java', 'sql', 'javascript', 'spring', 'oracle', 'api']",Programador,GS,19500.0,1,121,2024/11/03
['Técnico/a de producto PLM'],Barcelona,31/10/2024,CAS TRAINING,"['soporte', 'microsoft', 'dynamics 365']",Técnico de Gestión,Otros titulos,46500.0,1,0,2024/11/03
['Analista de Datos Apache Spark'],Online,31/10/2024,CMV Consultores,"['java', 'sql', 'python', 'c plus', 'scala', 'spark', 'mysql']",Analista,GS,33000.0,1,29,2024/11/03
['Incident Management 24x7'],Online,31/10/2024,CAS TRAINING,"['office 365', 'dynatrace']",Consultor,Otros titulos,30000.0,1,5,2024/11/03
['Técnico instalador teleco (RED MOVIL)'],Baleares,31/10/2024,OFG,"['5g', 'radio nokia', 'huawei']",Soporte Técnico,GS,no disponible,4,2,2024/11/03
['Arquitecto/a consultor/a en identidad'],Online,31/10/2024,CAS TRAINING,"['aws', 'azure', 'cibersegurid microsoft', 'microsoft 365', 'directorio activo']",Arquitecto TIC,Otros titulos,40500.0,1,0,2024/11/03
['Programador/a Fullstack Java VueJs'],Online,31/10/2024,CAS TRAINING,"['java', 'javascript', '.net', 'vue.js', 'jpa']",Programador,GS,no disponible,1,6,2024/11/03
['AWS Cloud Engineer'],Madrid,31/10/2024,CAS TRAINING,"['aws', 'python', 'linux', 'git', '.net', 'docker', 'jenkins']",DevOps,GS,no disponible,1,0,2024/11/03
['Incident Manager (Full Remote)'],Online,31/10/2024,Grupo Digital,['incident manager'],Jefe de Proyecto,GS,no disponible,1,8,2024/11/03
['Developer Java BackEnd'],Online,31/10/2024,CAS TRAINING,"['java', 'spring', 'git', 'microservicios', 'data', 'cloud', 'rest', 'kafka']",Desarrollador Web,GS,28500.0,1,5,2024/11/03
['Senior Front End Developer (Angular)'],Barcelona,31/10/2024,Bcnc Group,"['angular', 'spa', 'html5', 'css']",Analista Programador,GS,39000.0,4,0,2024/11/03
['Analistas Programadores Python'],Online,31/10/2024,Seltime,"['python', 'aws', 'git', 'jenkins', 'pyspark', 'cloud', 'spark']",Analista Programador,GS,28500.0,3,29,2024/11/03
['Administradores de Sistemas (SCCM)'],Online,31/10/2024,Seltime,"['sccm', 'windows server', 'ms directorio activo']",Administrador,GS,27000.0,3,47,2024/11/03
['Technical System Specialist'],Madrid,31/10/2024,CAS TRAINING,"['ibm', 'cobol', 'jcl', 'db2', 'sql', 'oracle', 'unix', 'control m', 'service now']",Soporte Técnico,GS,30000.0,1,1,2024/11/03
['Arquitecto/a Apps Cloud (.NET)'],Online,31/10/2024,CAS TRAINING,"['.net', 'angular', 'azure', 'git', 'docker', 'jenkins']",Analista Programador,Universidad,no disponible,1,4,2024/11/03
['Network Engineer'],Online,31/10/2024,Grupo Digital,"['ccnp', 'nexus']",Redes,GS,no disponible,1,5,2024/11/03
